tripletid,file_TGT,onset_TGT,offset_TGT,file_OTH,onset_OTH,offset_OTH,file_X,onset_X,offset_X,presentation_order,Practice,phoneitem_id_TGT,phone1_TGT,Target phone,phone3_TGT,talker_TGT,sex_TGT,dialect_TGT,phoneitem_id_OTH,phone1_OTH,Other phone,phone3_OTH,talker_OTH,sex_OTH,dialect_OTH,phoneitem_id_X,phone1_X,phone2_X,phone3_X,talker_X,sex_X,dialect_X,Block
t00000050535,TRAIN/DR2/MRJM1/SX398,2.7911,2.9925,TRAIN/DR2/MRJM1/SI1298,0.2976,0.4595,TRAIN/DR4/MRAB1/SX398,2.4471,2.6381,BA,FALSE,i112025,w,ah,n,MRJM1,M,DR2,i111894,w,iy,n,MRJM1,M,DR2,i62392,w,ah,n,MRAB1,M,DR4,B3
t00000074711,TRAIN/DR7/MJFR0/SI975,0.1475,0.2518,TRAIN/DR7/MJFR0/SI1605,0.3,0.484,TRAIN/DR7/MTWH1/SX252,0.5706,0.7675,AB,FALSE,i137100,b,ah,dx,MJFR0,M,DR7,i137042,b,uh,dx,MJFR0,M,DR7,i139020,b,ah,dx,MTWH1,M,DR7,B1
t00000103066,TRAIN/DR3/MPRD0/SX171,1.06,1.2369,TRAIN/DR3/MPRD0/SX171,3.1758,3.3544,TEST/DR5/MDWA0/SI1146,0.7154,0.9994,AB,FALSE,i69412,w,ah,z,MPRD0,M,DR3,i69428,w,uh,z,MPRD0,M,DR3,i30154,w,ah,z,MDWA0,M,DR5,B2
t00000101207,TRAIN/DR4/FKLC0/SX445,0.135,0.2425,TRAIN/DR4/FKLC0/SX265,2.1514,2.42,TRAIN/DR7/MTKD0/SI630,0.222,0.3678,AB,FALSE,i67504,w,ah,dx,FKLC0,F,DR4,i67789,w,uh,dx,FKLC0,F,DR4,i155770,w,ah,dx,MTKD0,M,DR7,B3
t00000103083,TRAIN/DR3/MPRD0/SX171,1.06,1.2369,TRAIN/DR3/MPRD0/SX171,3.1758,3.3544,TRAIN/DR7/MRMH0/SI1021,2.6951,2.8912,BA,FALSE,i69412,w,ah,z,MPRD0,M,DR3,i69428,w,uh,z,MPRD0,M,DR3,i138311,w,ah,z,MRMH0,M,DR7,B1
t00000074700,TRAIN/DR7/MJFR0/SI975,0.1475,0.2518,TRAIN/DR7/MJFR0/SI1605,0.3,0.484,TRAIN/DR7/MNTW0/SI1698,0.992,1.1381,BA,FALSE,i137100,b,ah,dx,MJFR0,M,DR7,i137042,b,uh,dx,MJFR0,M,DR7,i146676,b,ah,dx,MNTW0,M,DR7,B2
t00000100597,TRAIN/DR4/MJMM0/SX445,0.1358,0.2428,TRAIN/DR4/MJMM0/SX265,1.715,1.8875,TRAIN/DR3/FDFB0/SI1318,0.2089,0.3238,BA,FALSE,i62921,w,ah,dx,MJMM0,M,DR4,i63145,w,uh,dx,MJMM0,M,DR4,i80598,w,ah,dx,FDFB0,F,DR3,B3
t00000014662,TRAIN/DR1/MRSO0/SI1659,0.1356,0.4621,TRAIN/DR1/MRSO0/SX399,0.3498,0.76,TRAIN/DR3/MMJB1/SI1408,1.6269,1.8919,AB,FALSE,i176519,s,ah,m,MRSO0,M,DR1,i176649,s,uw,m,MRSO0,M,DR1,i81409,s,ah,m,MMJB1,M,DR3,B1
t00000014280,TEST/DR4/MKCL0/SI461,0.9762,1.2297,TEST/DR4/MKCL0/SI1091,1.81,2.0313,TEST/DR5/MDRB0/SI2109,1.9375,2.1575,AB,FALSE,i3252,s,ah,m,MKCL0,M,DR4,i3396,s,uw,m,MKCL0,M,DR4,i24596,s,ah,m,MDRB0,M,DR5,B2
t00000008436,TEST/DR5/MRPP0/SX104,1.2402,1.3825,TEST/DR5/MRPP0/SI554,3.7222,4.1025,TRAIN/DR2/MDLB0/SX136,1.9765,2.1774,AB,FALSE,i32054,r,ah,m,MRPP0,M,DR5,i31939,r,uw,m,MRPP0,M,DR5,i106184,r,ah,m,MDLB0,M,DR2,B3
t00000094079,TRAIN/DR1/MRCG0/SX78,1.3181,1.5613,TRAIN/DR1/MRCG0/SX438,3.3456,3.5421,TRAIN/DR8/MMWS0/SX78,1.0856,1.3054,BA,FALSE,i173398,r,ah,g,MRCG0,M,DR1,i173560,r,uw,g,MRCG0,M,DR1,i179357,r,ah,g,MMWS0,M,DR8,B1
t00000014306,TEST/DR4/MKCL0/SI461,0.9762,1.2297,TEST/DR4/MKCL0/SI1091,1.81,2.0313,TEST/DR2/MMDB1/SI2255,2.156,2.3912,BA,FALSE,i3252,s,ah,m,MKCL0,M,DR4,i3396,s,uw,m,MKCL0,M,DR4,i21431,s,ah,m,MMDB1,M,DR2,B2
t00000008447,TEST/DR5/MRPP0/SX104,1.2402,1.3825,TEST/DR5/MRPP0/SI554,3.7222,4.1025,TRAIN/DR6/MSJK0/SX66,0.9229,1.1294,BA,FALSE,i32054,r,ah,m,MRPP0,M,DR5,i31939,r,uw,m,MRPP0,M,DR5,i158595,r,ah,m,MSJK0,M,DR6,B3
t00000061434,TEST/DR2/FCMR0/SA2,2.0183,2.2898,TEST/DR2/FCMR0/SX205,1.8198,2.0966,TRAIN/DR8/MMEA0/SA2,1.2089,1.3942,AB,FALSE,i20691,l,iy,r,FCMR0,F,DR2,i20646,l,aa,r,FCMR0,F,DR2,i179820,l,iy,r,MMEA0,M,DR8,B1
t00000028598,TRAIN/DR4/FEEH0/SA1,1.6975,1.9225,TRAIN/DR4/FEEH0/SX302,1.3875,1.6225,TEST/DR7/MPAB0/SA1,2.2846,2.5404,AB,FALSE,i50195,r,iy,s,FEEH0,F,DR4,i50225,r,aa,s,FEEH0,F,DR4,i35919,r,iy,s,MPAB0,M,DR7,B2
t00000028948,TRAIN/DR6/MSVS0/SI938,4.0475,4.2974,TRAIN/DR6/MSVS0/SX308,2.5531,2.8583,TRAIN/DR3/FLJD0/SA1,1.4025,1.6256,AB,FALSE,i159016,r,iy,s,MSVS0,M,DR6,i158720,r,aa,s,MSVS0,M,DR6,i89662,r,iy,s,FLJD0,F,DR3,B3
t00000041801,TRAIN/DR2/FJKL0/SI932,3.4244,3.6681,TRAIN/DR2/FJKL0/SX392,1.4619,1.6846,TRAIN/DR3/MJRH1/SA1,1.7076,1.9725,BA,FALSE,i90932,r,iy,s,FJKL0,F,DR2,i90980,r,aa,s,FJKL0,F,DR2,i76563,r,iy,s,MJRH1,M,DR3,B1
t00000057265,TEST/DR7/FSXA0/SA2,1.6175,1.8275,TEST/DR7/FSXA0/SX118,1.9216,2.2075,TEST/DR4/MLLL0/SA2,1.9425,2.2075,BA,FALSE,i37528,l,iy,r,FSXA0,F,DR7,i37456,l,aa,r,FSXA0,F,DR7,i2789,l,iy,r,MLLL0,M,DR4,B2
t00000054226,TEST/DR2/MTAS1/SA2,1.9451,2.1932,TEST/DR2/MTAS1/SX118,2.0444,2.2825,TRAIN/DR2/MTDB0/SA2,1.3551,1.5874,BA,FALSE,i18861,l,iy,r,MTAS1,M,DR2,i18798,l,aa,r,MTAS1,M,DR2,i107539,l,iy,r,MTDB0,M,DR2,B3
t00000048033,TRAIN/DR2/MPPC0/SX422,0.895,1.1181,TRAIN/DR2/MPPC0/SI1412,4.2287,4.525,TRAIN/DR2/MRJT0/SX148,0.5381,0.7262,AB,FALSE,i111704,r,iy,s,MPPC0,M,DR2,i111772,r,ae,s,MPPC0,M,DR2,i94923,r,iy,s,MRJT0,M,DR2,B1
t00000006333,TRAIN/DR2/MRJM1/SI1928,0.624,0.812,TRAIN/DR2/MRJM1/SI1298,3.1703,3.3775,TEST/DR3/MJBR0/SA2,0.5577,0.7465,AB,FALSE,i112160,m,iy,dx,MRJM1,M,DR2,i111936,m,ae,dx,MRJM1,M,DR2,i10815,m,iy,dx,MJBR0,M,DR3,B2
t00000005507,TRAIN/DR7/MKAG0/SA2,0.5375,0.6472,TRAIN/DR7/MKAG0/SI979,4.0179,4.2294,TRAIN/DR6/MJRK0/SA2,0.725,0.8425,AB,FALSE,i136268,m,iy,dx,MKAG0,M,DR7,i136216,m,ae,dx,MKAG0,M,DR7,i159517,m,iy,dx,MJRK0,M,DR6,B3
t00000006108,TRAIN/DR2/MRJM1/SI1928,0.624,0.812,TRAIN/DR2/MRJM1/SI1298,3.1703,3.3775,TEST/DR4/FMCM0/SA2,0.5075,0.6025,BA,FALSE,i112160,m,iy,dx,MRJM1,M,DR2,i111936,m,ae,dx,MRJM1,M,DR2,i4227,m,iy,dx,FMCM0,F,DR4,B1
t00000021644,TRAIN/DR2/MRLR0/SA1,1.5222,1.7493,TRAIN/DR2/MRLR0/SI566,0.5125,0.7541,TRAIN/DR5/MJDM0/SA1,1.6902,1.9806,BA,FALSE,i95560,r,iy,s,MRLR0,M,DR2,i95405,r,ae,s,MRLR0,M,DR2,i132522,r,iy,s,MJDM0,M,DR5,B2
t00000049742,TRAIN/DR7/MRPC1/SA1,1.3233,1.5362,TRAIN/DR7/MRPC1/SI2112,1.2624,1.49,TRAIN/DR1/MMRP0/SA1,2.0117,2.2523,BA,FALSE,i136819,r,iy,s,MRPC1,M,DR7,i136847,r,ae,s,MRPC1,M,DR7,i172534,r,iy,s,MMRP0,M,DR1,B3
t00000035729,TRAIN/DR7/MKDB0/SA1,1.6375,1.8762,TRAIN/DR7/MKDB0/SI872,1.8981,2.1975,TRAIN/DR2/FCYL0/SA1,1.5138,1.7473,AB,FALSE,i141032,r,iy,s,MKDB0,M,DR7,i141065,r,ah,s,MKDB0,M,DR7,i102785,r,iy,s,FCYL0,F,DR2,B1
t00000048324,TRAIN/DR7/FMAH1/SA1,1.6862,1.8975,TRAIN/DR7/FMAH1/SX249,1.6945,1.9325,TRAIN/DR2/FLMA0/SA1,1.3002,1.5366,AB,FALSE,i147153,r,iy,s,FMAH1,F,DR7,i147230,r,ah,s,FMAH1,F,DR7,i96937,r,iy,s,FLMA0,F,DR2,B2
t00000039293,TRAIN/DR2/MRJT0/SX58,3.4047,3.9294,TRAIN/DR2/MRJT0/SX58,1.8016,1.9921,TRAIN/DR7/MTML0/SA1,1.4632,1.7112,AB,FALSE,i94856,r,iy,s,MRJT0,M,DR2,i94835,r,ah,s,MRJT0,M,DR2,i146073,r,iy,s,MTML0,M,DR7,B3
t00000044330,TRAIN/DR4/FSSB0/SA1,1.6831,1.9765,TRAIN/DR4/FSSB0/SI1082,1.4356,1.7125,TRAIN/DR7/FBLV0/SA1,1.5817,1.8106,BA,FALSE,i57753,r,iy,s,FSSB0,F,DR4,i57799,r,ah,s,FSSB0,F,DR4,i136029,r,iy,s,FBLV0,F,DR7,B1
t00000104574,TRAIN/DR7/MAEO0/SA1,1.524,1.8041,TRAIN/DR7/MAEO0/SX246,0.9373,1.2584,TEST/DR6/MCMJ0/SA1,1.8875,2.154,BA,FALSE,i148334,s,iy,w,MAEO0,M,DR7,i148127,s,ah,w,MAEO0,M,DR7,i41094,s,iy,w,MCMJ0,M,DR6,B2
t00000024724,TRAIN/DR2/MRJM0/SX148,0.5675,0.7975,TRAIN/DR2/MRJM0/SX58,1.9662,2.1525,TRAIN/DR2/MDLC2/SA1,1.3663,1.5587,BA,FALSE,i111146,r,iy,s,MRJM0,M,DR2,i111064,r,ah,s,MRJM0,M,DR2,i109264,r,iy,s,MDLC2,M,DR2,B3
t00000015136,TRAIN/DR7/MDLM0/SX244,1.1619,1.3369,TRAIN/DR7/MDLM0/SX424,1.5613,1.6762,TRAIN/DR5/MWSH0/SX346,0.8511,1.1575,AB,FALSE,i137229,r,iy,k,MDLM0,M,DR7,i137357,r,uh,k,MDLM0,M,DR7,i126538,r,iy,k,MWSH0,M,DR5,B1
t00000025789,TEST/DR8/MJTC0/SA1,1.7556,2.0356,TEST/DR8/MJTC0/SI1460,4.1381,4.3581,TRAIN/DR3/MREE0/SA1,1.6225,1.8475,AB,FALSE,i45790,r,iy,s,MJTC0,M,DR8,i45616,r,uh,s,MJTC0,M,DR8,i87601,r,iy,s,MREE0,M,DR3,B2
t00000104906,TRAIN/DR2/MKAJ0/SA1,1.5181,1.8377,TRAIN/DR2/MKAJ0/SI2044,0.5525,0.7975,TRAIN/DR2/FMMH0/SA1,1.7306,1.9712,AB,FALSE,i101967,s,iy,w,MKAJ0,M,DR2,i101785,s,uh,w,MKAJ0,M,DR2,i93048,s,iy,w,FMMH0,F,DR2,B3
t00000025515,TEST/DR8/MJTC0/SA1,1.7556,2.0356,TEST/DR8/MJTC0/SI1460,4.1381,4.3581,TRAIN/DR7/FVKB0/SA1,1.9242,2.1975,BA,FALSE,i45790,r,iy,s,MJTC0,M,DR8,i45616,r,uh,s,MJTC0,M,DR8,i143954,r,iy,s,FVKB0,F,DR7,B1
t00000104821,TRAIN/DR2/MKAJ0/SA1,1.5181,1.8377,TRAIN/DR2/MKAJ0/SI2044,0.5525,0.7975,TRAIN/DR4/FBAS0/SA1,1.9225,2.1958,BA,FALSE,i101967,s,iy,w,MKAJ0,M,DR2,i101785,s,uh,w,MKAJ0,M,DR2,i63762,s,iy,w,FBAS0,F,DR4,B2
t00000015037,TRAIN/DR4/MLJH0/SX244,2.2538,2.4413,TRAIN/DR4/MLJH0/SX424,2.3003,2.4781,TRAIN/DR3/MJRH1/SX244,1.7125,1.9008,BA,FALSE,i60817,r,iy,k,MLJH0,M,DR4,i60899,r,uh,k,MLJH0,M,DR4,i76307,r,iy,k,MJRH1,M,DR3,B3
t00000020237,TRAIN/DR3/MPRD0/SX441,0.4525,0.6344,TRAIN/DR3/MPRD0/SI1431,3.2437,3.6255,TEST/DR4/FLBW0/SX229,0.4325,0.6425,AB,FALSE,i69264,l,uh,k,MPRD0,M,DR3,i69515,l,aa,k,MPRD0,M,DR3,i6919,l,uh,k,FLBW0,F,DR4,B1
t00000100654,TRAIN/DR2/MWSB0/SX186,0.1102,0.2144,TRAIN/DR2/MWSB0/SA1,2.2,2.354,TRAIN/DR7/MGAW0/SX265,1.7825,2.0026,AB,FALSE,i106445,w,uh,dx,MWSB0,M,DR2,i106652,w,aa,dx,MWSB0,M,DR2,i140753,w,uh,dx,MGAW0,M,DR7,B2
t00000100155,TRAIN/DR8/MRDM0/SI1595,1.7076,1.8811,TRAIN/DR8/MRDM0/SX155,0.2054,0.3879,TRAIN/DR6/MCAE0/SA1,2.6746,2.8782,AB,FALSE,i183239,w,uh,dx,MRDM0,M,DR8,i183190,w,aa,dx,MRDM0,M,DR8,i160355,w,uh,dx,MCAE0,M,DR6,B3
t00000100662,TRAIN/DR2/MWSB0/SX186,0.1102,0.2144,TRAIN/DR2/MWSB0/SA1,2.2,2.354,TRAIN/DR5/MRKM0/SA1,2.8728,3.0346,BA,FALSE,i106445,w,uh,dx,MWSB0,M,DR2,i106652,w,aa,dx,MWSB0,M,DR2,i115933,w,uh,dx,MRKM0,M,DR5,B1
t00000100658,TRAIN/DR2/MWSB0/SX186,0.1102,0.2144,TRAIN/DR2/MWSB0/SA1,2.2,2.354,TRAIN/DR4/MNET0/SX186,0.14,0.2725,BA,FALSE,i106445,w,uh,dx,MWSB0,M,DR2,i106652,w,aa,dx,MWSB0,M,DR2,i66928,w,uh,dx,MNET0,M,DR4,B2
t00000105251,TEST/DR4/MJRF0/SX11,0.3658,0.5525,TEST/DR4/MJRF0/SI2081,0.4557,0.6319,TRAIN/DR5/MDWH0/SI665,1.5222,1.8094,BA,FALSE,i2313,w,uh,l,MJRF0,M,DR4,i2111,w,aa,l,MJRF0,M,DR4,i129752,w,uh,l,MDWH0,M,DR5,B3
t00000103774,TRAIN/DR6/MTXS0/SX160,2.1192,2.51,TRAIN/DR6/MTXS0/SI1690,0.6725,0.973,TEST/DR4/FJMG0/SI1181,1.6281,1.9556,AB,FALSE,i164125,b,uh,k,MTXS0,M,DR6,i164174,b,ae,k,MTXS0,M,DR6,i3715,b,uh,k,FJMG0,F,DR4,B1
t00000103866,TEST/DR1/MWBT0/SX293,1.605,1.8726,TEST/DR1/MWBT0/SX113,2.6025,3.1825,TRAIN/DR4/MGAG0/SI645,1.0496,1.275,AB,FALSE,i43219,b,uh,k,MWBT0,M,DR1,i43461,b,ae,k,MWBT0,M,DR1,i60455,b,uh,k,MGAG0,M,DR4,B2
t00000103860,TEST/DR1/MWBT0/SX293,1.605,1.8726,TEST/DR1/MWBT0/SX113,2.6025,3.1825,TRAIN/DR7/MCTH0/SX309,2.5586,2.885,AB,FALSE,i43219,b,uh,k,MWBT0,M,DR1,i43461,b,ae,k,MWBT0,M,DR1,i144675,b,uh,k,MCTH0,M,DR7,B3
t00000103871,TEST/DR1/MWBT0/SI2183,0.1342,0.375,TEST/DR1/MWBT0/SX113,2.6025,3.1825,TRAIN/DR6/MTXS0/SX160,2.1192,2.51,BA,FALSE,i43195,b,uh,k,MWBT0,M,DR1,i43461,b,ae,k,MWBT0,M,DR1,i164125,b,uh,k,MTXS0,M,DR6,B1
t00000103854,TEST/DR1/MWBT0/SI2183,0.1342,0.375,TEST/DR1/MWBT0/SX113,2.6025,3.1825,TEST/DR4/FJMG0/SI1181,1.6281,1.9556,BA,FALSE,i43195,b,uh,k,MWBT0,M,DR1,i43461,b,ae,k,MWBT0,M,DR1,i3715,b,uh,k,FJMG0,F,DR4,B2
t00000075965,TEST/DR3/FPKT0/SI2168,1.3325,1.5913,TEST/DR3/FPKT0/SX368,1.2369,1.5188,TRAIN/DR5/MTDP0/SI1521,0.2376,0.4919,BA,FALSE,i15576,l,uh,kcl,FPKT0,F,DR3,i15721,l,ae,kcl,FPKT0,F,DR3,i125529,l,uh,kcl,MTDP0,M,DR5,B3
t00000101594,TRAIN/DR7/MGAW0/SX265,1.7825,2.0026,TRAIN/DR7/MGAW0/SX445,0.1305,0.2298,TRAIN/DR4/FKLC0/SX265,2.1514,2.42,AB,FALSE,i140753,w,uh,dx,MGAW0,M,DR7,i140453,w,ah,dx,MGAW0,M,DR7,i67789,w,uh,dx,FKLC0,F,DR4,B1
t00000101603,TRAIN/DR7/MGAW0/SX265,1.7825,2.0026,TRAIN/DR7/MGAW0/SX445,0.1305,0.2298,TEST/DR5/MCTT0/SI1144,0.2558,0.389,AB,FALSE,i140753,w,uh,dx,MGAW0,M,DR7,i140453,w,ah,dx,MGAW0,M,DR7,i25208,w,uh,dx,MCTT0,M,DR5,B2
t00000103030,TRAIN/DR3/MPRD0/SX171,3.1758,3.3544,TRAIN/DR3/MPRD0/SX171,1.06,1.2369,TRAIN/DR6/MESJ0/SI2039,2.6503,2.83,AB,FALSE,i69428,w,uh,z,MPRD0,M,DR3,i69412,w,ah,z,MPRD0,M,DR3,i156276,w,uh,z,MESJ0,M,DR6,B3
t00000101386,TRAIN/DR4/FKLC0/SX265,2.1514,2.42,TRAIN/DR4/FKLC0/SX445,0.135,0.2425,TRAIN/DR2/MWSB0/SX186,0.1102,0.2144,BA,FALSE,i67789,w,uh,dx,FKLC0,F,DR4,i67504,w,ah,dx,FKLC0,F,DR4,i106445,w,uh,dx,MWSB0,M,DR2,B1
t00000103029,TRAIN/DR3/MPRD0/SX171,3.1758,3.3544,TRAIN/DR3/MPRD0/SX171,1.06,1.2369,TRAIN/DR5/MEGJ0/SX3,0.436,0.6531,BA,FALSE,i69428,w,uh,z,MPRD0,M,DR3,i69412,w,ah,z,MPRD0,M,DR3,i128169,w,uh,z,MEGJ0,M,DR5,B2
t00000074514,TRAIN/DR7/MJFR0/SI1605,0.3,0.484,TRAIN/DR7/MJFR0/SI975,0.1475,0.2518,TRAIN/DR6/MSVS0/SI2198,0.1331,0.2425,BA,FALSE,i137042,b,uh,dx,MJFR0,M,DR7,i137100,b,ah,dx,MJFR0,M,DR7,i158904,b,uh,dx,MSVS0,M,DR6,B3
t00000099683,TEST/DR2/MTMR0/SX223,0.1425,0.2825,TEST/DR2/MTMR0/SX133,0.1382,0.2558,TRAIN/DR3/MTLB0/SI504,0.4325,0.6814,AB,FALSE,i17453,p,uh,tcl,MTMR0,M,DR2,i17324,p,iy,tcl,MTMR0,M,DR2,i73053,p,uh,tcl,MTLB0,M,DR3,B1
t00000020164,TRAIN/DR8/MBSB0/SX273,1.3263,1.5248,TRAIN/DR8/MBSB0/SI1353,1.2519,1.4194,TEST/DR4/FNMR0/SX229,0.3211,0.5456,AB,FALSE,i177848,l,uh,k,MBSB0,M,DR8,i177706,l,iy,k,MBSB0,M,DR8,i816,l,uh,k,FNMR0,F,DR4,B2
t00000015229,TRAIN/DR7/MDLM0/SX424,1.5613,1.6762,TRAIN/DR7/MDLM0/SX244,1.1619,1.3369,TRAIN/DR3/FDJH0/SI935,0.2112,0.4094,AB,FALSE,i137357,r,uh,k,MDLM0,M,DR7,i137229,r,iy,k,MDLM0,M,DR7,i88825,r,uh,k,FDJH0,F,DR3,B3
t00000099557,TEST/DR7/MRPC0/SX223,0.1305,0.2725,TEST/DR7/MRPC0/SX133,0.1275,0.2765,TRAIN/DR3/MVJH0/SI926,0.4025,0.5744,BA,FALSE,i33941,p,uh,tcl,MRPC0,M,DR7,i33866,p,iy,tcl,MRPC0,M,DR7,i79579,p,uh,tcl,MVJH0,M,DR3,B1
t00000099548,TEST/DR7/MRPC0/SX223,0.1305,0.2725,TEST/DR7/MRPC0/SX133,0.1275,0.2765,TEST/DR6/MJFC0/SX223,0.1381,0.2975,BA,FALSE,i33941,p,uh,tcl,MRPC0,M,DR7,i33866,p,iy,tcl,MRPC0,M,DR7,i39264,p,uh,tcl,MJFC0,M,DR6,B2
t00000099494,TEST/DR6/MJFC0/SX223,0.1381,0.2975,TEST/DR6/MJFC0/SX133,0.1388,0.2756,TRAIN/DR3/MTLB0/SI504,0.4325,0.6814,BA,FALSE,i39264,p,uh,tcl,MJFC0,M,DR6,i39212,p,iy,tcl,MJFC0,M,DR6,i73053,p,uh,tcl,MTLB0,M,DR3,B3
t00000000009,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TRAIN/DR2/MSAT0/SX86,1.5075,1.6825,AB,FALSE,i14632,f,uh,l,MWJG0,M,DR3,i14521,f,uw,l,MWJG0,M,DR3,i109407,f,uh,l,MSAT0,M,DR2,B1
t00000000005,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TRAIN/DR4/MLJC0/SX325,0.2675,0.5878,AB,FALSE,i14632,f,uh,l,MWJG0,M,DR3,i14521,f,uw,l,MWJG0,M,DR3,i54357,f,uh,l,MLJC0,M,DR4,B2
t00000000002,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TEST/DR1/FDAC1/SX124,2.0975,2.3994,AB,FALSE,i14632,f,uh,l,MWJG0,M,DR3,i14521,f,uw,l,MWJG0,M,DR3,i44123,f,uh,l,FDAC1,F,DR1,B3
t00000000006,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TRAIN/DR3/MLNS0/SI777,1.1326,1.3694,BA,FALSE,i14632,f,uh,l,MWJG0,M,DR3,i14521,f,uw,l,MWJG0,M,DR3,i83173,f,uh,l,MLNS0,M,DR3,B1
t00000000004,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TRAIN/DR2/MJMA0/SX325,0.2075,0.4595,BA,FALSE,i14632,f,uh,l,MWJG0,M,DR3,i14521,f,uw,l,MWJG0,M,DR3,i95019,f,uh,l,MJMA0,M,DR2,B2
t00000000007,TEST/DR3/MWJG0/SI1124,1.3275,1.6292,TEST/DR3/MWJG0/SI1754,1.4625,1.8675,TRAIN/DR6/MRMB0/SI2211,0.5248,0.8382,BA,FALSE,i14632,f,uh,l,MWJG0,M,DR3,i14521,f,uw,l,MWJG0,M,DR3,i158068,f,uh,l,MRMB0,M,DR6,B3
t00000076038,TRAIN/DR2/FCAJ0/SX309,0.3202,0.5326,TRAIN/DR2/FCAJ0/SX219,0.5091,0.7023,TRAIN/DR7/MAFM0/SX309,0.3025,0.4782,AB,FALSE,i96459,r,uw,f,FCAJ0,F,DR2,i96493,r,aa,f,FCAJ0,F,DR2,i134332,r,uw,f,MAFM0,M,DR7,B1
t00000076213,TRAIN/DR7/MAFM0/SX309,0.3025,0.4782,TRAIN/DR7/MAFM0/SX219,0.4044,0.5962,TEST/DR7/FTLH0/SX289,0.4875,0.653,AB,FALSE,i134332,r,uw,f,MAFM0,M,DR7,i134365,r,aa,f,MAFM0,M,DR7,i38586,r,uw,f,FTLH0,F,DR7,B2
t00000076043,TRAIN/DR2/FCAJ0/SX309,0.3202,0.5326,TRAIN/DR2/FCAJ0/SX219,0.5091,0.7023,TRAIN/DR3/MHMR0/SX309,0.3325,0.5143,AB,FALSE,i96459,r,uw,f,FCAJ0,F,DR2,i96493,r,aa,f,FCAJ0,F,DR2,i73383,r,uw,f,MHMR0,M,DR3,B3
t00000076246,TRAIN/DR1/MRSO0/SX309,0.415,0.6788,TRAIN/DR1/MRSO0/SX219,0.525,0.7644,TRAIN/DR7/MAFM0/SX309,0.3025,0.4782,BA,FALSE,i176491,r,uw,f,MRSO0,M,DR1,i176548,r,aa,f,MRSO0,M,DR1,i134332,r,uw,f,MAFM0,M,DR7,B1
t00000076044,TRAIN/DR2/FCAJ0/SX309,0.3202,0.5326,TRAIN/DR2/FCAJ0/SX219,0.5091,0.7023,TRAIN/DR2/MJAE0/SX264,2.1566,2.7175,BA,FALSE,i96459,r,uw,f,FCAJ0,F,DR2,i96493,r,aa,f,FCAJ0,F,DR2,i108433,r,uw,f,MJAE0,M,DR2,B2
t00000076042,TRAIN/DR2/FCAJ0/SX309,0.3202,0.5326,TRAIN/DR2/FCAJ0/SX219,0.5091,0.7023,TRAIN/DR7/MGSL0/SX264,2.3133,2.7425,BA,FALSE,i96459,r,uw,f,FCAJ0,F,DR2,i96493,r,aa,f,FCAJ0,F,DR2,i140112,r,uw,f,MGSL0,M,DR7,B3
t00000013296,TRAIN/DR2/FLMA0/SI1873,0.7533,0.9974,TRAIN/DR2/FLMA0/SI1873,2.4275,2.6579,TRAIN/DR6/MRXB0/SX325,0.5525,0.945,AB,FALSE,i96988,m,uw,n,FLMA0,F,DR2,i97014,m,ae,n,FLMA0,F,DR2,i159023,m,uw,n,MRXB0,M,DR6,B1
t00000052670,TRAIN/DR1/MRCG0/SX438,3.5421,3.7441,TRAIN/DR1/MRCG0/SX438,1.7311,1.9679,TRAIN/DR3/MPRD0/SX441,0.8688,1.1075,AB,FALSE,i173563,r,uw,pcl,MRCG0,M,DR1,i173541,r,ae,pcl,MRCG0,M,DR1,i69270,r,uw,pcl,MPRD0,M,DR3,B2
t00000013294,TRAIN/DR2/FLMA0/SI1873,0.7533,0.9974,TRAIN/DR2/FLMA0/SI1873,2.4275,2.6579,TRAIN/DR3/MCEF0/SX325,0.5232,0.8475,AB,FALSE,i96988,m,uw,n,FLMA0,F,DR2,i97014,m,ae,n,FLMA0,F,DR2,i79275,m,uw,n,MCEF0,M,DR3,B3
t00000013293,TRAIN/DR2/FLMA0/SI1873,0.7533,0.9974,TRAIN/DR2/FLMA0/SI1873,2.4275,2.6579,TRAIN/DR7/FREH0/SX325,0.3775,0.6575,BA,FALSE,i96988,m,uw,n,FLMA0,F,DR2,i97014,m,ae,n,FLMA0,F,DR2,i142809,m,uw,n,FREH0,F,DR7,B1
t00000013295,TRAIN/DR2/FLMA0/SI1873,0.7533,0.9974,TRAIN/DR2/FLMA0/SI1873,2.4275,2.6579,TRAIN/DR2/MJMA0/SX325,0.4595,0.7885,BA,FALSE,i96988,m,uw,n,FLMA0,F,DR2,i97014,m,ae,n,FLMA0,F,DR2,i95022,m,uw,n,MJMA0,M,DR2,B2
